Year,Number of Fires,Avg. Acres,Median Acres,Avg. Duration (Hours),Avg. Duration (Days),Median Duration (Hours),Median Duration (Days)
2013,14,2264.43,106.0,66.73,2.78,25.61,1.07
2014,9,10943.0,85.0,110.9,4.62,38.0,1.58
2015,13,5788.54,104.0,160.17,6.67,94.63,3.94
2016,30,161.07,87.5,54.16,2.26,28.32,1.18
2017,51,819.82,76.0,3988.57,166.19,4123.22,171.8
2018,27,5906.89,67.0,3562.97,148.46,3740.28,155.84
2019,21,82.05,50.0,79.41,3.31,16.79,0.7
2020,30,1967.23,77.0,49.83,2.08,17.59,0.73
2021,17,4254.88,118.0,285.29,11.89,45.98,1.92
2022,12,113.17,41.5,141.08,5.88,96.38,4.02
